%time,field.header.seq,field.header.stamp,field.header.frame_id,field.d,field.d_ref,field.sigma_d,field.phi,field.phi_ref,field.sigma_phi,field.curvature,field.curvature_ref,field.v_ref,field.status,field.in_lane
1571197781914255762,25567,1571197781475496053,,-0.0399999991059,0.0,0.0,0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197782006478366,25568,1571197781662306070,,-0.10000000149,0.0,0.0,0.449999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197782121930658,25569,1571197781774019002,,-0.0799999982119,0.0,0.0,0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197782222026856,25570,1571197781866668939,,-0.140000000596,0.0,0.0,0.850000023842,0.0,0.0,0.0,0.0,0.0,0,1
1571197782273769251,25571,1571197781938201904,,-0.019999999553,0.0,0.0,-0.15000000596,0.0,0.0,0.0,0.0,0.0,0,1
1571197782388816647,25572,1571197782064513921,,-0.0799999982119,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0,1
1571197782480017064,25573,1571197782198599100,,-0.10000000149,0.0,0.0,0.34999999404,0.0,0.0,0.0,0.0,0.0,0,1
1571197782572985657,25574,1571197782272509098,,-0.119999997318,0.0,0.0,0.550000011921,0.0,0.0,0.0,0.0,0.0,0,1
1571197782679811439,25575,1571197782382735013,,-0.019999999553,0.0,0.0,-0.0500000007451,0.0,0.0,0.0,0.0,0.0,0,1
1571197782783188678,25576,1571197782470547914,,-0.140000000596,0.0,0.0,1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197782849253157,25577,1571197782564668893,,-0.10000000149,0.0,0.0,1.04999995232,0.0,0.0,0.0,0.0,0.0,0,1
1571197782979368366,25578,1571197782674675941,,-0.10000000149,0.0,0.0,1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197783122090761,25579,1571197782770391941,,-0.0599999986589,0.0,0.0,1.35000002384,0.0,0.0,0.0,0.0,0.0,0,1
1571197783211747949,25580,1571197782864861011,,-0.0599999986589,0.0,0.0,1.35000002384,0.0,0.0,0.0,0.0,0.0,0,1
1571197783321442636,25581,1571197782935583114,,-0.0399999991059,0.0,0.0,1.45000004768,0.0,0.0,0.0,0.0,0.0,0,1
1571197783392435657,25582,1571197782999111890,,-0.0399999991059,0.0,0.0,1.45000004768,0.0,0.0,0.0,0.0,0.0,0,1
1571197783472101907,25583,1571197783064336061,,0.0,0.0,0.0,1.35000002384,0.0,0.0,0.0,0.0,0.0,0,1
1571197783530859720,25584,1571197783232645034,,0.0,0.0,0.0,1.35000002384,0.0,0.0,0.0,0.0,0.0,0,1
1571197783597286542,25585,1571197783297745943,,0.019999999553,0.0,0.0,1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197783668965709,25586,1571197783363841056,,0.019999999553,0.0,0.0,1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197783740912740,25587,1571197783438750982,,0.019999999553,0.0,0.0,1.14999997616,0.0,0.0,0.0,0.0,0.0,0,1
1571197783778761282,25588,1571197783505002021,,0.019999999553,0.0,0.0,0.949999988079,0.0,0.0,0.0,0.0,0.0,0,1
1571197783859071334,25589,1571197783610258102,,0.019999999553,0.0,0.0,0.850000023842,0.0,0.0,0.0,0.0,0.0,0,1
1571197783942389980,25590,1571197783680664062,,0.280000001192,0.0,0.0,-1.35000002384,0.0,0.0,0.0,0.0,0.0,0,1
